[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('y5i124umliwlhj7g8ye0b78a1r47arqq', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:04:09'); args=(u'y5i124umliwlhj7g8ye0b78a1r47arqq', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:04:09')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'z7qzmvpag3ue7jxipj2kmz8fl9cbjw5a'  LIMIT 1; args=(u'z7qzmvpag3ue7jxipj2kmz8fl9cbjw5a',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('z7qzmvpag3ue7jxipj2kmz8fl9cbjw5a', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-25 06:56:20'); args=(u'z7qzmvpag3ue7jxipj2kmz8fl9cbjw5a', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-25 06:56:20')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zb8cq31lnfrjfrww878ueg59zd47qy2u'  LIMIT 1; args=(u'zb8cq31lnfrjfrww878ueg59zd47qy2u',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zb8cq31lnfrjfrww878ueg59zd47qy2u', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-09-17 23:30:11'); args=(u'zb8cq31lnfrjfrww878ueg59zd47qy2u', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-09-17 23:30:11')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zc3j7ay5juhxbel2xv951oyb37p9o3pz'  LIMIT 1; args=(u'zc3j7ay5juhxbel2xv951oyb37p9o3pz',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zc3j7ay5juhxbel2xv951oyb37p9o3pz', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:07:11'); args=(u'zc3j7ay5juhxbel2xv951oyb37p9o3pz', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:07:11')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zemp1syoksxdx6erph7yqaoz8lwiwqhg'  LIMIT 1; args=(u'zemp1syoksxdx6erph7yqaoz8lwiwqhg',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zemp1syoksxdx6erph7yqaoz8lwiwqhg', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-26 10:30:06'); args=(u'zemp1syoksxdx6erph7yqaoz8lwiwqhg', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-26 10:30:06')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zflpfykpdzgqkr2o9j52t07t0lupkwvk'  LIMIT 1; args=(u'zflpfykpdzgqkr2o9j52t07t0lupkwvk',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zflpfykpdzgqkr2o9j52t07t0lupkwvk', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:02:42'); args=(u'zflpfykpdzgqkr2o9j52t07t0lupkwvk', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:02:42')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.002) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zfohejii1soykee8adlbj6zl6049vmir'  LIMIT 1; args=(u'zfohejii1soykee8adlbj6zl6049vmir',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zfohejii1soykee8adlbj6zl6049vmir', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-06 08:54:17'); args=(u'zfohejii1soykee8adlbj6zl6049vmir', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-06 08:54:17')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zg54bfelmefnn4wzt9ofum3hkvzsofx5'  LIMIT 1; args=(u'zg54bfelmefnn4wzt9ofum3hkvzsofx5',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zg54bfelmefnn4wzt9ofum3hkvzsofx5', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 19:46:23'); args=(u'zg54bfelmefnn4wzt9ofum3hkvzsofx5', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 19:46:23')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zh7n423wtlzqwpfnk1jmtozcswtj9hto'  LIMIT 1; args=(u'zh7n423wtlzqwpfnk1jmtozcswtj9hto',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zh7n423wtlzqwpfnk1jmtozcswtj9hto', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-04 12:23:32'); args=(u'zh7n423wtlzqwpfnk1jmtozcswtj9hto', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-04 12:23:32')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zhkygqy6yurkwss6d2r871fzonpwhjvf'  LIMIT 1; args=(u'zhkygqy6yurkwss6d2r871fzonpwhjvf',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zhkygqy6yurkwss6d2r871fzonpwhjvf', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-08 19:48:33'); args=(u'zhkygqy6yurkwss6d2r871fzonpwhjvf', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-08 19:48:33')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zjmu4ftug7buu3d69rj5t6px0stwzeg8'  LIMIT 1; args=(u'zjmu4ftug7buu3d69rj5t6px0stwzeg8',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zjmu4ftug7buu3d69rj5t6px0stwzeg8', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-09-17 08:01:55'); args=(u'zjmu4ftug7buu3d69rj5t6px0stwzeg8', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-09-17 08:01:55')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zlavxtkcrjd0ndo611j68q1urvd93hyc'  LIMIT 1; args=(u'zlavxtkcrjd0ndo611j68q1urvd93hyc',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zlavxtkcrjd0ndo611j68q1urvd93hyc', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-09-17 08:03:19'); args=(u'zlavxtkcrjd0ndo611j68q1urvd93hyc', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-09-17 08:03:19')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zlw7ihmynnqkie03wyy4jamai73myu0e'  LIMIT 1; args=(u'zlw7ihmynnqkie03wyy4jamai73myu0e',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zlw7ihmynnqkie03wyy4jamai73myu0e', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-11-13 05:54:49'); args=(u'zlw7ihmynnqkie03wyy4jamai73myu0e', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-11-13 05:54:49')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zoygol1isikltqku70g9rdu3auitg5r6'  LIMIT 1; args=(u'zoygol1isikltqku70g9rdu3auitg5r6',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zoygol1isikltqku70g9rdu3auitg5r6', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-26 10:31:27'); args=(u'zoygol1isikltqku70g9rdu3auitg5r6', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-26 10:31:27')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zpumk3u7hyowqn8251o7ctzpxxpw7uzp'  LIMIT 1; args=(u'zpumk3u7hyowqn8251o7ctzpxxpw7uzp',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zpumk3u7hyowqn8251o7ctzpxxpw7uzp', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-25 06:57:24'); args=(u'zpumk3u7hyowqn8251o7ctzpxxpw7uzp', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-25 06:57:24')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zqp2dcgpmu4fpotcac9o48ig7n2emjh9'  LIMIT 1; args=(u'zqp2dcgpmu4fpotcac9o48ig7n2emjh9',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zqp2dcgpmu4fpotcac9o48ig7n2emjh9', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-12-05 06:39:32'); args=(u'zqp2dcgpmu4fpotcac9o48ig7n2emjh9', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-12-05 06:39:32')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'zymqze5w17ohs7od2ijfojv8kz9ucdez'  LIMIT 1; args=(u'zymqze5w17ohs7od2ijfojv8kz9ucdez',)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('zymqze5w17ohs7od2ijfojv8kz9ucdez', 'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', '2013-10-27 10:02:40'); args=(u'zymqze5w17ohs7od2ijfojv8kz9ucdez', u'NjZlMTMyM2ZkMGI3MTM4YjdjOWM1MTQ2NGEyNTQyOWU5YjRmZjRhODqAAn1xAVgKAAAAdGVzdGNvb2tpZXECWAYAAAB3b3JrZWRxA3Mu', u'2013-10-27 10:02:40')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `south_migrationhistory` WHERE `south_migrationhistory`.`id` = 1  LIMIT 1; args=(1,)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) UPDATE `south_migrationhistory` SET `app_name` = 'FingerprintsREST', `migration` = '0001_initial', `applied` = '2013-06-19 09:47:25' WHERE `south_migrationhistory`.`id` = 1 ; args=(u'FingerprintsREST', u'0001_initial', u'2013-06-19 09:47:25', 1)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `south_migrationhistory` WHERE `south_migrationhistory`.`id` = 2  LIMIT 1; args=(2,)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `south_migrationhistory` (`id`, `app_name`, `migration`, `applied`) VALUES (2, 'FingerprintsREST', '0002_auto__add_field_location_room', '2013-12-04 08:26:28'); args=(2, u'FingerprintsREST', u'0002_auto__add_field_location_room', u'2013-12-04 08:26:28')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SELECT (1) AS `a` FROM `FingerprintsREST_device` WHERE `FingerprintsREST_device`.`id` = 1  LIMIT 1; args=(1,)
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) INSERT INTO `FingerprintsREST_device` (`id`, `name`, `version`, `manufacturer`) VALUES (1, 'HTC Sensation XL with Beats Audio X315e', '', ''); args=(1, u'HTC Sensation XL with Beats Audio X315e', u'', u'')
[23/Dec/2013 11:06:00] DEBUG [django.db.backends:51] (0.000) SET foreign_key_checks=1; args=()
